komm,jordtype,aar_mod,saamng,tkvs,saakern,partigerm,saatid,frspdag,jordinf,markgrm,antplnt,forfrugt,pesticid,exptgens,nedbarea,nmin,mod_nmin,ngodnt,nopt,potnmin,jordn,ngodnn,ngodn,nplac,dg25,ngtilg,ntilg,rokap,dgv1059,sort,sorttkv,aks_m2,dgv5980,aks_vgt,bgbyg,keraks,srtsize,ksort,nprot,srtprot,protein,s2225,s2528,slt22,spndx,tkv,udb
state0,JB_5,x_10,x230_250,x48_50,x_450,x90_93,x_26_3,x21_23,x_98__99,x90_93,x375_425,Cer_rotation,x_2,x40_50,x3___500_,x15_30,x30_45,x75_90,x120_135,x60_75,x90_105,x_45,x_45,worked_in_solil,x_22_5,x_45,x120_135,x137_5_162_5,x61_70,Maresi,x5,x650_750,x_35,x850_950,x3_0_3_5,x17_19,x1,x95_98,x100_120,x5,x10_5_11_0,x0_1,x0_5,x3_5,x9_10,x35_40,x60_65
state2,JB_9,x15,x210_230,x48_50,x_450,x98_99,x_26_3,x_15,x_95__97,x94_95,x375_425,Beets,x_2,x30_40,x2__375_500_,x30_45,x15_30,x75_90,x120_135,x60_75,x90_105,x_45,x_45,Top_dressed,x11_5_27_5,x_45,x120_135,x162_5_187_5,x51_60,Trebon,x5,x750_950,x25_35,x750_850,x3_5_4_0,x19_21,x3,x85_90,x100_120,x4,x10_5_11_0,x1_5,x10_15,x3_5,x9_10,x40_42_5,x65_70
state1,JB_3,x_20,x230_250,x46_48,x_450,x93_95,x_26_3,x19_21,x_99_1_00,x94_95,x375_425,Clovergrass,x_2,x30_40,x3___500_,x15_30,x30_45,x45_60,x120_135,x15_30,x60_75,x45_60,x45_60,Top_dressed,x_22_5,x75_90,x135_150,x87_5_112_5,x61_70,Brewster,x5,x750_950,x15_25,x750_850,x4_0_4_5,x19_21,x2,x_85,x60_80,x2,x10_0_10_5,x1_5,x10_15,x3_5,x9_10,x40_42_5,x65_70
state4,JB_3,x10,x50_70,x50_55,x_175,x93_95,x26_3_10_4,x17_19,x_99_1_00,x94_95,x_175,Beets,x_2,x30_40,x3___500_,x15_30,x0_15,x90_105,x120_135,x15_30,x30_45,x90_105,x90_105,worked_in_solil,x11_5_27_5,x90_105,x120_135,x62_5_87_5,x41_50,G_363ta,x4,x450_550,x0_5,x650_700,x4_0_4_5,x17_19,x3,x_85,x40_60,x4,x_12_0,x1_5,x10_15,x3_5,x9_10,x42_5_45,x30_40
state2,JB_2,x_20,x130_150,x30_35,x_450,x85_90,x_26_4,x_15,x93__95,x80_85,x325_375,Cereals,x_2,x30_40,x1___375_,x15_30,x30_45,x75_90,x120_135,x0_15,x45_60,x75_90,x75_90,Top_dressed,x_22_5,x90_105,x150_165,x87_5_112_5,x25_40,Cooper,x5,x550_650,x0_5,x750_850,x4_5_5_0,x13_15,x1,x_98,x60_80,x2,x_9,x0_1,x0_5,x1_2,x9_10,x45_47_5,x40_50
state2,JB_8,x25,x230_250,x55_60,x375_424,x93_95,x21_4_26_4,x_15,x_99_1_00,x94_95,x375_425,Other,x_2,x40_50,x2__375_500_,x30_45,x0_15,x105_120,x120_135,x60_75,x75_90,x45_60,x45_60,worked_in_solil,x32_5_37_5,x_45,x105_120,x162_5_187_5,x51_60,Give,x5,x550_650,x25_35,x850_950,x3_0_3_5,x19_21,x2,x85_90,x80_100,x4,x11_0_11_5,x0_1,x0_5,x3_5,x9_10,x35_40,x50_55
state0,JB_4,x25,x230_250,x48_50,x_450,x95_97,x_26_4,x_15,x_99_1_00,x95_97,x_425,Cereals,x_2,x40_50,x2__375_500_,x30_45,x0_15,x120_135,x120_135,x15_30,x30_45,x75_90,x75_90,Placed,x_22_5,x75_90,x105_120,x62_5_87_5,x41_50,Polygena,x6,x650_750,x10_15,x550_600,x3_5_4_0,x15_17,x3,x_85,x40_60,x4,x10_5_11_0,x1_5,x10_15,x3_5,x9_10,x40_42_5,x40_50
state3,Jb_7,x5,x130_150,x30_35,x_450,x80_85,x11_4_20_4,x_15,x_99_1_00,x80_85,x325_375,Beets,x_2,x50_60,x2__375_500_,x30_45,x30_45,x90_105,x135_150,x45_60,x75_90,x45_60,x45_60,worked_in_solil,x11_5_27_5,x_45,x105_120,x137_5_162_5,x51_60,Trebon,x6,x450_550,x10_15,x700_750,x3_5_4_0,x19_21,x_3,x_85,x80_100,x4,x11_5_12_0,x1_5,x15_20,x3_5,x9_10,x45_47_5,x30_40
state3,JB_2,x_5,x150_170,x35_40,x_450,x80_85,x26_3_10_4,x15_17,x_99_1_00,x80_85,x325_375,Other,x_2,x30_40,x1___375_,x30_45,x30_45,x75_90,x120_135,x30_45,x75_90,x_45,x_45,worked_in_solil,x_22_5,x_45,x105_120,x137_5_162_5,x51_60,Mentor,x5,x550_650,x5_10,x700_750,x3_5_4_0,x21_23,x3,x_85,x80_100,x4,x11_5_12_0,x5_10,x20_25,x3_5,x9_10,x42_5_45,x40_50
state4,JB_5,x_20,x190_210,x48_50,x375_424,x80_85,x21_4_26_4,x_15,x_99_1_00,x80_85,x325_375,Clovergrass,x_2,x50_60,x3___500_,x15_30,x30_45,x75_90,x135_150,x0_15,x45_60,x90_105,x75_90,Placed,x_22_5,x75_90,x120_135,x137_5_162_5,x51_60,Chariot,x4,x650_750,x_35,x850_950,x_3_0,x13_15,x3,x_98,x60_80,x5,x_12_0,x0_1,x0_5,x0_1,x9_10,x42_5_45,x60_65
state0,JB_2,x15,x90_110,x30_35,x275_325,x80_85,x21_4_26_4,x19_21,x_99_1_00,x80_85,x225_275,Beets,x_2,x40_50,x2__375_500_,x30_45,x15_30,x90_105,x135_150,x60_75,x90_105,x_45,x_45,Placed,x_22_5,x_45,x120_135,x112_5_137_5,x51_60,Shamu,x5,x350_450,x0_5,x850_950,x4_5_5_0,x15_17,x2,x_98,x100_120,x3,x10_0_10_5,x0_1,x0_5,x1_2,x9_10,x42_5_45,x30_40
state0,JB_8,x20,x50_70,x40_42,x_175,x90_93,x26_3_10_4,x17_19,x_99_1_00,x90_93,x_175,Clovergrass,x_2,x40_50,x3___500_,x30_45,x15_30,x75_90,x135_150,x30_45,x45_60,x90_105,x75_90,worked_in_solil,x47_5_57_5,x45_60,x90_105,x187_5_212_5,x61_70,Chariot,x4,x350_450,x0_5,x750_850,x4_5_5_0,x_23,x3,x_85,x60_80,x5,x_12_0,x5_10,x15_20,x3_5,x9_10,x35_40,x30_40
state0,JB_4,x15,x130_150,x55_60,x225_275,x98_99,x_26_4,x_15,x_99_1_00,x98__99,x225_275,Cer_rotation,x_2,x30_40,x2__375_500_,x30_45,x15_30,x90_105,x120_135,x30_45,x45_60,x60_75,x60_75,Top_dressed,x_22_5,x90_105,x150_165,x112_5_137_5,x51_60,Nevada,x5,x750_950,x5_10,x850_950,x4_0_4_5,x17_19,x0,x90_95,x60_80,x3,x10_5_11_0,x0_1,x0_5,x3_5,x9_10,x42_5_45,x70_80
state4,Jb_1_,x15,x70_90,x30_35,x225_275,x97_98,x11_4_20_4,x15_17,x_95__97,x94_95,x225_275,Beets,x_2,x40_50,x3___500_,x15_30,x0_15,x105_120,x135_150,x15_30,x15_30,x105_120,x105_120,Placed,x37_5_47_5,x105_120,x120_135,x37_5_62_5,x_25,Rima,x5,x450_550,x15_25,x850_950,x3_0_3_5,x15_17,x3,x_98,x40_60,x3,x_9,x0_1,x0_5,x1_2,x9_10,x40_42_5,x40_50
state1,JB_5,x_20,x130_150,x44_46,x275_325,x80_85,x26_3_10_4,x19_21,x_99_1_00,x80_85,x225_275,Other,x_2,x40_50,x1___375_,x45_60,x60_75,x45_60,x135_150,x60_75,x_120,x_45,x_45,Placed,x32_5_37_5,x_45,x165_180,x137_5_162_5,x41_50,Semal,x5,x550_650,x15_25,x750_850,x3_5_4_0,x21_23,x__1,x_85,x120_140,x2,x11_5_12_0,x5_10,x25_30,x3_5,x9_10,x40_42_5,x40_50
state3,JB_4,x20,x50_70,x35_40,x_175,x_80,x_26_4,x17_19,x_99_1_00,x75_80,x_175,Beets,x_2,x40_50,x2__375_500_,x30_45,x15_30,x90_105,x120_135,x45_60,x60_75,x60_75,x60_75,Placed,x37_5_47_5,x60_75,x135_150,x87_5_112_5,x41_50,Saxo,x5,x450_550,x15_25,x750_850,x4_5_5_0,x19_21,x2,x_85,x80_100,x2,x10_0_10_5,x1_5,x10_15,x3_5,x9_10,x42_5_45,x40_50
state0,JB_9,x_10,x210_230,x48_50,x_450,x97_98,x_26_3,x25_27,x_99_1_00,x95_97,x_425,Cereals,x_2,x30_40,x1___375_,x45_60,x60_75,x45_60,x120_135,x0_15,x60_75,x60_75,x45_60,worked_in_solil,x_22_5,x45_60,x105_120,x187_5_212_5,x51_60,Canut,x4,x550_650,x5_10,x700_750,x4_0_4_5,x13_15,x0,x95_98,x60_80,x1,x11_0_11_5,x0_1,x0_5,x3_5,x9_10,x35_40,x40_50
state2,JB_8,x_10,x130_150,x46_48,x275_325,x93_95,x26_3_10_4,x_15,x_99_1_00,x94_95,x275_325,Other,x_2,x30_40,x3___500_,x30_45,x45_60,x60_75,x120_135,x90_105,x_120,x_45,x_45,Placed,x27_5_32_5,x_45,x165_180,x162_5_187_5,x51_60,Marielle,x5,x450_550,x0_5,x850_950,x4_5_5_0,x21_23,x0,x_85,x120_140,x3,x_12_0,x1_5,x15_20,x3_5,x9_10,x42_5_45,x40_50
state4,JB_8,x20,x230_250,x50_55,x_450,x95_97,x_26_4,x_15,x_97__98,x94_95,x375_425,Clovergrass,x_2,x40_50,x1___375_,x45_60,x30_45,x60_75,x120_135,x45_60,x75_90,x_45,x_45,worked_in_solil,x_22_5,x_45,x105_120,x162_5_187_5,x51_60,Cooper,x5,x550_650,x25_35,x750_850,x3_5_4_0,x17_19,x1,x90_95,x80_100,x2,x_12_0,x0_1,x5_10,x3_5,x9_10,x40_42_5,x40_50
state2,Jb_7,x0,x110_130,x40_42,x275_325,x85_90,x_26_4,x_15,x_99_1_00,x85_90,x225_275,Clovergrass,x_2,x50_60,x3___500_,x30_45,x30_45,x75_90,x135_150,x45_60,x75_90,x45_60,x45_60,Placed,x11_5_27_5,x45_60,x120_135,x137_5_162_5,x41_50,Heron,x5,x450_550,x25_35,x850_950,x3_0_3_5,x19_21,x0,x90_95,x80_100,x2,x11_0_11_5,x0_1,x5_10,x3_5,x9_10,x42_5_45,x40_50
state1,JB_8,x10,x70_90,x46_48,x_175,x85_90,x_26_3,x23_25,x_97__98,x85_90,x_175,Beets,x_2,x40_50,x3___500_,x30_45,x15_30,x90_105,x135_150,x45_60,x75_90,x60_75,x60_75,worked_in_solil,x_22_5,x60_75,x150_165,x162_5_187_5,x61_70,Korinna,x5,x650_750,x_35,x850_950,x_3_0,x17_19,x2,x95_98,x80_100,x5,x11_5_12_0,x0_1,x0_5,x2_3,x9_10,x42_5_45,x60_65
state3,JB_2,x_25,x230_250,x50_55,x_450,x85_90,x26_3_10_4,x17_19,x_99_1_00,x85_90,x375_425,Beets,x_2,x40_50,x2__375_500_,x30_45,x60_75,x45_60,x135_150,x45_60,x105_120,x_45,x_45,worked_in_solil,x32_5_37_5,x_45,x135_150,x87_5_112_5,x25_40,Mentor,x5,x650_750,x15_25,x850_950,x3_0_3_5,x13_15,x3,x_98,x100_120,x4,x_12_0,x0_1,x0_5,x0_1,x9_10,x45_47_5,x60_65
state0,JB_2,x_5,x230_250,x40_42,x_450,x99_100,x_26_4,x_15,x_95__97,x95_97,x_425,Other,x_2,x40_50,x2__375_500_,x15_30,x15_30,x90_105,x135_150,x75_90,x105_120,x_45,x_45,Placed,x27_5_32_5,x_45,x135_150,x112_5_137_5,x51_60,Lysimax,x2,x_1150,x10_15,x600_650,x4_0_4_5,x19_21,x0,x_85,x100_120,x5,x_12_0,x5_10,x20_25,x3_5,x9_10,x35_40,x_80
state4,JB_9,x_10,x210_230,x35_40,x_450,x95_97,x21_4_26_4,x_15,x_97__98,x94_95,x375_425,Clovergrass,x_2,x40_50,x1___375_,x30_45,x45_60,x45_60,x120_135,x30_45,x75_90,x_45,x_45,Top_dressed,x37_5_47_5,x_45,x105_120,x187_5_212_5,x61_70,Goldie,x4,x650_750,x15_25,x750_850,x4_0_4_5,x17_19,x_3,x90_95,x80_100,x5,x_12_0,x0_1,x0_5,x3_5,x9_10,x35_40,x55_60
state4,JB_3,x20,x210_230,x30_35,x_450,x95_97,x26_3_10_4,x17_19,x_99_1_00,x95_97,x_425,Cer_rotation,x_2,x_30,x1___375_,x0_15,x0_15,x90_105,x_120,x15_30,x0_15,x90_105,x90_105,worked_in_solil,x_22_5,x90_105,x90_105,x62_5_87_5,x25_40,Heron,x4,x650_750,x5_10,x750_850,x4_0_4_5,x13_15,x0,x_98,x_40,x3,x9_0_9_5,x0_1,x0_5,x1_2,x9_10,x45_47_5,x55_60
state2,Jb_1_,x_25,x230_250,x42_44,x_450,x95_97,x_26_4,x21_23,x93__95,x90_93,x375_425,Other,x_2,x30_40,x2__375_500_,x15_30,x45_60,x60_75,x_120,x15_30,x60_75,x_45,x_45,worked_in_solil,x_22_5,x_45,x90_105,x37_5_62_5,x_25,Meltan,x6,x_350,x0_5,x700_750,x4_5_5_0,x13_15,x1,x95_98,x60_80,x5,x11_5_12_0,x0_1,x0_5,x2_3,x9_10,x40_42_5,x_30
state1,JB_8,x25,x90_110,x55_60,x_175,x_80,x11_4_20_4,x_15,x_99_1_00,x75_80,x_175,Cereals,x_2,x40_50,x1___375_,x45_60,x15_30,x105_120,x120_135,x0_15,x30_45,x90_105,x90_105,worked_in_solil,x37_5_47_5,x75_90,x105_120,x162_5_187_5,x61_70,Maresi,x5,x650_750,x15_25,x750_850,x4_0_4_5,x_23,x2,x_85,x40_60,x5,x9_5_10_0,x5_10,x15_20,x3_5,x9_10,x42_5_45,x55_60
state1,JB_9,x25,x230_250,x30_35,x_450,x85_90,x26_3_10_4,x19_21,x_99_1_00,x85_90,x375_425,Cer_rotation,x_2,x40_50,x3___500_,x30_45,x0_15,x105_120,x120_135,x30_45,x45_60,x75_90,x75_90,worked_in_solil,x_22_5,x75_90,x120_135,x162_5_187_5,x51_60,Meltan,x5,x650_750,x10_15,x750_850,x4_0_4_5,x17_19,x0,x90_95,x60_80,x6,x11_5_12_0,x0_1,x5_10,x3_5,x9_10,x40_42_5,x55_60
state4,JB_8,x0,x130_150,x46_48,x275_325,x93_95,x11_4_20_4,x17_19,x90__93,x85_90,x225_275,Cer_rotation,x_2,x40_50,x3___500_,x30_45,x30_45,x75_90,x120_135,x75_90,x_120,x_45,x_45,worked_in_solil,x27_5_32_5,x_45,x150_165,x137_5_162_5,x61_70,Selim,x4,x950_1150,x10_15,x750_850,x4_0_4_5,x21_23,x2,x_85,x120_140,x2,x11_0_11_5,x1_5,x20_25,x3_5,x9_10,x35_40,x_80
state3,JB_6,x_10,x150_170,x48_50,x325_375,x98_99,x21_4_26_4,x_15,x93__95,x90_93,x275_325,Clovergrass,x_2,x50_60,x3___500_,x30_45,x45_60,x60_75,x135_150,x15_30,x60_75,x75_90,x60_75,Placed,x_22_5,x60_75,x135_150,x187_5_212_5,x51_60,Heron,x4,x650_750,x0_5,x950_1050,x4_5_5_0,x19_21,x0,x95_98,x80_100,x3,x11_0_11_5,x0_1,x0_5,x3_5,x9_10,x42_5_45,x65_70
state2,JB_8,x_20,x70_90,x42_44,x175_225,x_80,x_26_3,x23_25,x93__95,x_75,x_175,Clovergrass,x_2,x40_50,x1___375_,x45_60,x60_75,x_45,x120_135,x_105,x_120,x_45,x_45,worked_in_solil,x_22_5,x_45,x150_165,x162_5_187_5,x_70,Jill,x3,x750_950,x_35,x700_750,x3_0_3_5,x21_23,x0,x_85,x120_140,x2,x9_0_9_5,x5_10,x20_25,x3_5,x9_10,x40_42_5,x60_65
state3,JB_6,x25,x70_90,x50_55,x_175,x_80,x26_3_10_4,x19_21,x_95__97,x_75,x_175,Clovergrass,x_2,x40_50,x1___375_,x45_60,x15_30,x75_90,x135_150,x60_75,x90_105,x45_60,x45_60,Top_dressed,x11_5_27_5,x_45,x120_135,x187_5_212_5,x61_70,Abelone,x3,x750_950,x15_25,x650_700,x3_5_4_0,x21_23,x0,x_85,x100_120,x2,x10_0_10_5,x5_10,x15_20,x3_5,x9_10,x35_40,x55_60
state4,JB_9,x_5,x50_70,x48_50,x_175,x90_93,x26_3_10_4,x17_19,x_99_1_00,x90_93,x_175,Other,x_2,x30_40,x3___500_,x30_45,x30_45,x75_90,x120_135,x_105,x_120,x_45,x_45,worked_in_solil,x27_5_32_5,x_45,x150_165,x162_5_187_5,x61_70,Collie,x3,x450_550,x0_5,x950_1050,x4_5_5_0,x17_19,x0,x_98,x120_140,x2,x9_5_10_0,x0_1,x0_5,x1_2,x9_10,x45_47_5,x50_55
state2,JB_9,x_5,x230_250,x40_42,x_450,x97_98,x_26_3,x15_17,x_98__99,x95_97,x_425,Other,x_2,x40_50,x2__375_500_,x30_45,x30_45,x75_90,x135_150,x_105,x_120,x_45,x_45,worked_in_solil,x_22_5,x_45,x150_165,x187_5_212_5,x_70,G_363ta,x5,x950_1150,x0_5,x600_650,x4_5_5_0,x21_23,x_3,x_85,x120_140,x4,x10_0_10_5,x5_10,x15_20,x3_5,x9_10,x35_40,x65_70
state1,Jb_7,x0,x90_110,x42_44,x225_275,x80_85,x26_3_10_4,x17_19,x_99_1_00,x80_85,x175_225,Other,x_2,x50_60,x3___500_,x30_45,x30_45,x90_105,x150_165,x60_75,x90_105,x60_75,x60_75,Placed,x11_5_27_5,x60_75,x165_180,x162_5_187_5,x61_70,Ragtime,x7,x650_750,x15_25,x850_950,x3_5_4_0,x_23,x_1,x_85,x100_120,x4,x11_0_11_5,x5_10,x25_30,x3_5,x9_10,x45_47_5,x60_65
state4,Jb_1_,x5,x230_250,x50_55,x_450,x_80,x11_4_20_4,x_15,x_99_1_00,x75_80,x325_375,Other,x_2,x30_40,x2__375_500_,x15_30,x15_30,x90_105,x120_135,x30_45,x45_60,x75_90,x75_90,Placed,x37_5_47_5,x75_90,x120_135,x62_5_87_5,x51_60,Maud,x5,x550_650,x25_35,x850_950,x3_0_3_5,x21_23,x1,x_85,x60_80,x2,x10_5_11_0,x1_5,x10_15,x3_5,x9_10,x42_5_45,x50_55
state1,JB_4,x_15,x90_110,x55_60,x_175,x85_90,x_26_4,x15_17,x_98__99,x85_90,x_175,Other,x_2,x30_40,x2__375_500_,x30_45,x45_60,x60_75,x120_135,x60_75,x105_120,x_45,x_45,Placed,x_22_5,x_45,x135_150,x87_5_112_5,x51_60,Maresi,x4,x450_550,x5_10,x750_850,x3_5_4_0,x17_19,x2,x90_95,x100_120,x5,x10_0_10_5,x0_1,x0_5,x3_5,x9_10,x42_5_45,x40_50
state3,JB_4,x20,x230_250,x40_42,x_450,x90_93,x_26_3,x17_19,x_95__97,x85_90,x375_425,Clovergrass,x_2,x40_50,x3___500_,x15_30,x0_15,x90_105,x120_135,x_105,x105_120,x_45,x_45,worked_in_solil,x37_5_47_5,x_45,x135_150,x87_5_112_5,x_70,G_363ta,x5,x_1150,x_35,x600_650,x3_0_3_5,x17_19,x_3,x_85,x100_120,x5,x9_5_10_0,x1_5,x15_20,x3_5,x9_10,x35_40,x_80
state1,JB_5,x_10,x70_90,x44_46,x175_225,x90_93,x21_4_26_4,x_15,x_99_1_00,x90_93,x175_225,Cereals,x_2,x40_50,x2__375_500_,x45_60,x60_75,x60_75,x120_135,x15_30,x75_90,x_45,x_45,Placed,x47_5_57_5,x_45,x105_120,x137_5_162_5,x51_60,Krona,x6,x750_950,x25_35,x700_750,x3_5_4_0,x13_15,x3,x95_98,x80_100,x4,x11_5_12_0,x0_1,x0_5,x2_3,x9_10,x35_40,x60_65
state2,JB_2,x0,x50_70,x42_44,x_175,x98_99,x_26_3,x21_23,x_99_1_00,x98__99,x_175,Other,x_2,x40_50,x2__375_500_,x15_30,x15_30,x90_105,x135_150,x75_90,x105_120,x_45,x_45,Top_dressed,x_22_5,x_45,x135_150,x112_5_137_5,x_70,Give,x6,x750_950,x_35,x750_850,x_3_0,x21_23,x1,x_85,x100_120,x5,x10_5_11_0,x5_10,x25_30,x3_5,x9_10,x45_47_5,x65_70
state3,JB_5,x_10,x50_70,x42_44,x_175,x93_95,x26_3_10_4,x19_21,x_99_1_00,x94_95,x_175,Cer_rotation,x_2,x40_50,x2__375_500_,x45_60,x60_75,x45_60,x135_150,x30_45,x90_105,x_45,x_45,worked_in_solil,x37_5_47_5,x_45,x120_135,x162_5_187_5,x61_70,Goldie,x6,x650_750,x25_35,x850_950,x3_0_3_5,x17_19,x3,x95_98,x100_120,x5,x11_5_12_0,x0_1,x0_5,x2_3,x9_10,x40_42_5,x60_65
state1,JB_2,x_10,x190_210,x40_42,x_450,x90_93,x26_3_10_4,x17_19,x_99_1_00,x90_93,x375_425,Beets,x_2,x30_40,x1___375_,x15_30,x30_45,x60_75,x120_135,x45_60,x75_90,x45_60,x45_60,Placed,x32_5_37_5,x45_60,x120_135,x62_5_87_5,x51_60,andre,x1,x750_950,x_35,x700_750,x_3_0,x19_21,x3,x_85,x80_100,x6,x_12_0,x1_5,x15_20,x3_5,x9_10,x35_40,x60_65
state3,JB_4,x_10,x90_110,x42_44,x225_275,x95_97,x_26_3,x23_25,x90__93,x85_90,x175_225,Beets,x_2,x40_50,x1___375_,x0_15,x15_30,x90_105,x135_150,x30_45,x45_60,x90_105,x90_105,Top_dressed,x32_5_37_5,x_45,x75_90,x87_5_112_5,x61_70,Alexis,x6,x350_450,x0_5,x600_650,x4_5_5_0,x15_17,x2,x85_90,x60_80,x3,x10_5_11_0,x1_5,x10_15,x3_5,x9_10,x45_47_5,x_30
state3,JB_3,x_15,x70_90,x44_46,x175_225,x_80,x_26_4,x19_21,x_99_1_00,x75_80,x_175,Other,x_2,x40_50,x1___375_,x15_30,x30_45,x75_90,x120_135,x30_45,x75_90,x45_60,x45_60,Top_dressed,x37_5_47_5,x_45,x105_120,x87_5_112_5,x41_50,Nevada,x6,x350_450,x15_25,x850_950,x4_0_4_5,x15_17,x0,x95_98,x80_100,x3,x10_0_10_5,x0_1,x0_5,x1_2,x9_10,x45_47_5,x30_40
state1,JB_4,x_20,x70_90,x30_35,x225_275,x93_95,x26_3_10_4,x21_23,x93__95,x85_90,x175_225,Cereals,x_2,x40_50,x2__375_500_,x30_45,x45_60,x75_90,x120_135,x15_30,x75_90,x45_60,x45_60,worked_in_solil,x_22_5,x45_60,x120_135,x112_5_137_5,x41_50,Krona,x5,x450_550,x5_10,x750_850,x_5_0,x17_19,x3,x90_95,x80_100,x4,x_12_0,x0_1,x0_5,x3_5,x9_10,x45_47_5,x30_40
state4,JB_8,x_25,x190_210,x46_48,x_450,x97_98,x_26_4,x_15,x_95__97,x94_95,x375_425,Cer_rotation,x_2,x40_50,x1___375_,x45_60,x_75,x_45,x135_150,x30_45,x105_120,x_45,x_45,worked_in_solil,x37_5_47_5,x_45,x135_150,x187_5_212_5,x51_60,Etna,x4,x550_650,x25_35,x850_950,x3_0_3_5,x17_19,x0,x95_98,x100_120,x2,x11_5_12_0,x0_1,x0_5,x3_5,x9_10,x40_42_5,x50_55
state2,JB_5,x_25,x110_130,x50_55,x225_275,x85_90,x26_3_10_4,x23_25,x_95__97,x80_85,x175_225,Beets,x_2,x50_60,x2__375_500_,x30_45,x60_75,x60_75,x135_150,x45_60,x105_120,x_45,x_45,Placed,x_22_5,x_45,x135_150,x137_5_162_5,x51_60,Princesse,x4,x650_750,x15_25,x850_950,x3_0_3_5,x15_17,x2,x_98,x100_120,x3,x10_0_10_5,x0_1,x0_5,x1_2,x9_10,x40_42_5,x60_65
state0,JB_5,x_25,x170_190,x50_55,x325_375,x97_98,x21_4_26_4,x_15,x_95__97,x94_95,x325_375,Other,x_2,x50_60,x3___500_,x30_45,x60_75,x60_75,x135_150,x60_75,x_120,x_45,x_45,Placed,x32_5_37_5,x_45,x150_165,x162_5_187_5,x51_60,Lamba,x2,x750_950,x25_35,x700_750,x3_0_3_5,x21_23,x1,x_85,x120_140,x2,x11_5_12_0,x5_10,x20_25,x3_5,x9_10,x40_42_5,x60_65
state2,JB_5,x25,x190_210,x40_42,x_450,x80_85,x26_3_10_4,x15_17,x_99_1_00,x80_85,x325_375,Clovergrass,x_2,x50_60,x1___375_,x45_60,x15_30,x90_105,x135_150,x75_90,x105_120,x_45,x_45,worked_in_solil,x_22_5,x_45,x135_150,x112_5_137_5,x61_70,Selim,x5,x750_950,x25_35,x750_850,x3_5_4_0,x17_19,x2,x90_95,x100_120,x4,x9_0_9_5,x0_1,x0_5,x3_5,x9_10,x40_42_5,x65_70
state1,JB_4,x_15,x130_150,x50_55,x225_275,x80_85,x_26_4,x_15,x_95__97,x75_80,x175_225,Cer_rotation,x_2,x40_50,x2__375_500_,x30_45,x45_60,x60_75,x120_135,x60_75,x_120,x_45,x_45,worked_in_solil,x_57_5,x_45,x150_165,x112_5_137_5,x51_60,Caruso,x5,x450_550,x5_10,x700_750,x4_0_4_5,x17_19,x2,x_85,x120_140,x5,x_12_0,x1_5,x10_15,x3_5,x9_10,x42_5_45,x30_40
state3,JB_4,x_20,x70_90,x48_50,x_175,x90_93,x_26_3,x_27,x_94__90,x80_85,x_175,Beets,x_2,x40_50,x2__375_500_,x15_30,x30_45,x75_90,x120_135,x60_75,x105_120,x_45,x_45,Placed,x_22_5,x_45,x135_150,x62_5_87_5,x51_60,Vintage,x3,x450_550,x5_10,x950_1050,x4_0_4_5,x17_19,x2,x_98,x100_120,x4,x10_5_11_0,x0_1,x0_5,x1_2,x9_10,x42_5_45,x40_50
state1,JB_9,x_20,x230_250,x46_48,x_450,x85_90,x_26_4,x_15,x_99_1_00,x85_90,x375_425,Beets,x_2,x40_50,x1___375_,x45_60,x60_75,x45_60,x120_135,x30_45,x105_120,x_45,x_45,Top_dressed,x_57_5,x_45,x135_150,x137_5_162_5,x41_50,Abelone,x4,x750_950,x0_5,x750_850,x4_5_5_0,x15_17,x1,x95_98,x100_120,x2,x11_5_12_0,x0_1,x0_5,x3_5,x9_10,x42_5_45,x65_70
state0,JB_9,x20,x210_230,x48_50,x_450,x_80,x_26_4,x_15,x_99_1_00,x75_80,x325_375,Beets,x_2,x40_50,x2__375_500_,x30_45,x15_30,x90_105,x135_150,x45_60,x60_75,x60_75,x60_75,worked_in_solil,x_57_5,x_45,x90_105,x162_5_187_5,x51_60,Baracuda,x5,x450_550,x10_15,x550_600,x3_5_4_0,x19_21,x3,x_85,x80_100,x3,x11_0_11_5,x5_10,x15_20,x3_5,x9_10,x40_42_5,x_30
state0,JB_9,x_10,x150_170,x50_55,x275_325,x85_90,x_26_4,x_15,x_99_1_00,x85_90,x225_275,Clovergrass,x_2,x50_60,x1___375_,x45_60,x60_75,x45_60,x150_165,x90_105,x_120,x_45,x_45,worked_in_solil,x_57_5,x_45,x150_165,x187_5_212_5,x51_60,G_363ta,x4,x550_650,x10_15,x_1050,x4_0_4_5,x19_21,x_3,x_98,x120_140,x3,x11_0_11_5,x0_1,x0_5,x0_1,x9_10,x42_5_45,x65_70
state0,JB_4,x_15,x190_210,x46_48,x_450,x98_99,x_26_3,x_27,x90__93,x90_93,x375_425,Clovergrass,x_2,x40_50,x3___500_,x15_30,x30_45,x60_75,x135_150,x_105,x_120,x_45,x_45,Top_dressed,x_57_5,x_45,x150_165,x87_5_112_5,x25_40,Digger,x5,x450_550,x15_25,x950_1050,x3_0_3_5,x17_19,x_3,x_98,x120_140,x3,x_12_0,x0_1,x0_5,x0_1,x9_10,x42_5_45,x50_55
