Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,AMDewptCalPl,ScenRelAMIns,LIfr12ZDENSd,AMInsWliScen,AMInstabMt,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,CapInScen,LatestCIN,LLIW,CurPropConv,Dewpoints,LoLevMoistAd,InsChange,InsSclInScen,LowLLapse,MeanRH,MidLLapse,MountainFcst,MvmtFeatures,ScenRel3_4,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
Jul2_Jul15,K,CThruK,Stifling,Average,Neutral,K,N5GtLIGt_8,MoreUnstable,None,Down,Neutral,Neutral,Down,Down,Dry,Neutral,VeryWet,Wet,PC,PC,PC,Clear,None,DCVZFavor,None,None,None,None,IncCapDecIns,Increasing,MoreThanAve,TotalInhibit,Moderate,None,LowAtStation,Negative,Decreasing,Average,ModerateOrLe,Dry,ModerateOrLe,XNIL,MarkedUpper,ACEFK,K,XNIL,XNIL,XNIL,MoistMDryL,MovingFtorOt,NegToPos,Moving,AllElse,Westerly,LongAnticyc
Jun15_Jul1,C,CThruK,PartInhibit,Average,Stability,CDEJ,N5GtLIGt_8,LessUnstable,Strong,WeakUp,StronUp,Neutral,WeakUp,WeakUp,Dry,Neutral,Dry,Dry,PC,Clear,Cloudy,Cloudy,Strong,DCVZFavor,Strong,None,Weak,Marked,LittleChange,LittleChange,Average,PartInhibit,Moderate,Moderate,LowAtStation,Neutral,Decreasing,LessUnstable,Steep,Dry,ModerateOrLe,SIG,MarkedUpper,ACEFK,C,XNIL,SIG,SIG,Other,E_W_N,LittleChange,Other,NWQuad,Westerly,LongAnticyc
Aug20_Sep15,I,CThruK,PartInhibit,LessThanAve,Neutral,ABI,N1GtLIGt_4,MoreUnstable,Strong,WeakUp,StronUp,WeakUp,WeakUp,WeakUp,Dry,Wet,Dry,Neutral,PC,PC,PC,Cloudy,Strong,DCVZFavor,Weak,Weak,Weak,Marked,IncCapDecIns,Increasing,LessThanAve,None,Moderate,Slight,LowSHighN,WeakPos,Increasing,MoreUnstable,CloseToDryAd,Dry,CloseToDryAd,SIG,NoMajor,HI,I,XNIL,XNIL,SIG,DryMMoistL,E_W_S,LittleChange,QStationary,NWQuad,Westerly,LongAnticyc
Jul16_Aug10,C,CThruK,PartInhibit,Average,Instability,CDEJ,LIGt0,LessUnstable,Strong,WeakUp,Down,StrongUp,WeakUp,WeakUp,Wet,Wet,Wet,Wet,PC,Clear,PC,PC,Strong,DCVZFavor,Weak,None,Weak,Marked,IncCapDecIns,Increasing,MoreThanAve,None,Moderate,Moderate,LowAtStation,Neutral,Decreasing,LessUnstable,Steep,Dry,CloseToDryAd,SVR,OtherRapid,ACEFK,C,XNIL,XNIL,SVR,Other,MovingFtorOt,SigPositive,Other,NWQuad,Westerly,LongAnticyc
Jul16_Aug10,H,CThruK,Stifling,MoreThanAve,Instability,H,N1GtLIGt_4,MoreUnstable,None,StrongUp,WeakUp,Down,Neutral,Neutral,Wet,Dry,Dry,Dry,PC,PC,PC,PC,Weak,Westerly,None,Weak,None,Marked,IncCapDecIns,Increasing,MoreThanAve,PartInhibit,Strong,Strong,HighEvrywher,WeakPos,Increasing,MoreUnstable,ModerateOrLe,Average,CloseToDryAd,SIG,OtherRapid,HI,H,SIG,SIG,SIG,DryMMoistL,E_W_N,PosToNeg,None,NWQuad,LVorOther,E_NE
Aug20_Sep15,C,CThruK,PartInhibit,Average,Stability,CDEJ,N1GtLIGt_4,Average,None,Down,WeakUp,Neutral,Neutral,Neutral,Wet,Dry,Dry,Dry,Clear,Clear,Clear,Clear,None,StrongWest,None,Strong,Strong,None,IncCapDecIns,Increasing,MoreThanAve,PartInhibit,Strong,Strong,LowEvrywhere,Negative,Decreasing,LessUnstable,Steep,Dry,ModerateOrLe,XNIL,MarkedUpper,ACEFK,C,XNIL,XNIL,XNIL,DryMMoistL,E_W_S,NegToPos,None,NWQuad,Westerly,LongAnticyc
Jul16_Aug10,C,CThruK,PartInhibit,Average,Instability,CDEJ,N1GtLIGt_4,MoreUnstable,None,StrongUp,Neutral,Neutral,StrongUp,StrongUp,Dry,Wet,VeryWet,VeryWet,Clear,PC,Clear,Clear,None,DCVZFavor,None,Strong,None,None,IncCapDecIns,Increasing,Average,PartInhibit,Unfavorable,None,LowMtsHighPl,Negative,Decreasing,Average,ModerateOrLe,Average,CloseToDryAd,XNIL,StrongFront,ACEFK,C,XNIL,SIG,SIG,Other,E_W_N,SigNegative,Other,LV,Westerly,LV
Jul16_Aug10,C,CThruK,Stifling,MoreThanAve,Stability,CDEJ,N1GtLIGt_4,Average,Strong,Down,StronUp,Down,Neutral,Neutral,Wet,Dry,Neutral,Neutral,Clear,Clear,Clear,Clear,Strong,StrongWest,Strong,None,Strong,Some,LittleChange,LittleChange,MoreThanAve,None,Strong,Moderate,LowEvrywhere,StrongPos,Increasing,MoreUnstable,Steep,Dry,Steep,XNIL,NoMajor,ACEFK,C,SVR,SVR,SVR,Other,E_W_N,SigPositive,Moving,AllElse,Westerly,LongAnticyc
Aug20_Sep15,D,CThruK,TotalInhibit,MoreThanAve,Stability,CDEJ,N1GtLIGt_4,LessUnstable,None,Down,WeakUp,StrongUp,Down,Down,VeryWet,Dry,Neutral,Dry,PC,PC,PC,Clear,None,DCVZFavor,None,Weak,Weak,None,IncCapDecIns,Increasing,MoreThanAve,TotalInhibit,Weak,None,LowSHighN,Neutral,Decreasing,LessUnstable,ModerateOrLe,Dry,CloseToDryAd,XNIL,OtherRapid,D,D,XNIL,XNIL,XNIL,DryMMoistL,DryLine,SigNegative,None,SWQuad,LVorOther,SEQuad
May15_Jun14,I,CThruK,PartInhibit,MoreThanAve,Neutral,ABI,N5GtLIGt_8,MoreUnstable,Weak,WeakUp,WeakUp,WeakUp,WeakUp,WeakUp,Wet,Neutral,Neutral,Wet,Clear,Clear,Clear,PC,Strong,DCVZFavor,Weak,None,None,Marked,IncCapDecIns,Increasing,MoreThanAve,Stifling,Weak,Slight,LowSHighN,Negative,Decreasing,Average,ModerateOrLe,Average,ModerateOrLe,SIG,NoMajor,HI,I,XNIL,XNIL,SIG,Other,MovingFtorOt,LittleChange,QStationary,SWQuad,Westerly,DenvCyclone
Jul2_Jul15,E,CThruK,Stifling,Average,Neutral,CDEJ,LIGt0,Average,None,StrongUp,WeakUp,Neutral,WeakUp,WeakUp,Neutral,Dry,Neutral,Wet,Clear,PC,Clear,Clear,None,DCVZFavor,None,None,None,None,DecCapIncIns,Decreasing,Average,PartInhibit,Moderate,Moderate,LowAtStation,Neutral,Decreasing,LessUnstable,CloseToDryAd,Dry,ModerateOrLe,XNIL,OtherRapid,ACEFK,E,XNIL,XNIL,XNIL,MoistMDryL,None,SigPositive,QStationary,AllElse,Westerly,WidespdDnsl
Jul16_Aug10,D,CThruK,PartInhibit,Average,Instability,CDEJ,N5GtLIGt_8,MoreUnstable,None,Neutral,Neutral,WeakUp,Neutral,Neutral,Neutral,Wet,Neutral,Neutral,PC,PC,PC,PC,None,Westerly,None,Weak,Weak,None,LittleChange,LittleChange,Average,None,Unfavorable,None,LowEvrywhere,Neutral,Increasing,MoreUnstable,ModerateOrLe,Average,CloseToDryAd,XNIL,OtherRapid,D,D,SVR,SVR,SVR,Other,E_W_N,SigNegative,Moving,NWQuad,Westerly,WidespdDnsl
Aug20_Sep15,G,CThruK,Stifling,MoreThanAve,Neutral,G,N1GtLIGt_4,Average,Weak,StrongUp,Neutral,StrongUp,StrongUp,StrongUp,Wet,Wet,Wet,VeryWet,PC,Cloudy,Cloudy,Cloudy,Strong,DCVZFavor,Strong,None,Weak,Marked,IncCapDecIns,Increasing,MoreThanAve,PartInhibit,Weak,Slight,LowEvrywhere,Neutral,Increasing,Average,Steep,Dry,CloseToDryAd,XNIL,NoMajor,GJ,G,SIG,SIG,SIG,Other,Other,LittleChange,None,LV,Westerly,LV
Jul16_Aug10,E,CThruK,None,LessThanAve,Instability,CDEJ,N5GtLIGt_8,MoreUnstable,Strong,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Dry,Neutral,Wet,Cloudy,PC,Cloudy,Cloudy,Strong,Westerly,Strong,Strong,Strong,Some,IncCapDecIns,Increasing,MoreThanAve,None,Moderate,Slight,LowAtStation,WeakPos,LittleChange,MoreUnstable,Steep,Average,ModerateOrLe,SIG,NoMajor,ACEFK,E,XNIL,XNIL,SIG,MoistMDryL,DryLine,PosToNeg,Other,SWQuad,Westerly,LV
May15_Jun14,E,CThruK,PartInhibit,Average,Instability,CDEJ,LIGt0,LessUnstable,Strong,WeakUp,WeakUp,StrongUp,StrongUp,StrongUp,VeryWet,Neutral,Wet,VeryWet,PC,PC,Cloudy,Cloudy,Strong,Westerly,Weak,Weak,Weak,Marked,DecCapIncIns,Decreasing,LessThanAve,None,Weak,Slight,LowSHighN,WeakPos,Decreasing,LessUnstable,ModerateOrLe,Dry,ModerateOrLe,SVR,NoMajor,ACEFK,E,XNIL,XNIL,SVR,MoistMDryL,DenvCyclone,SigPositive,None,AllElse,LVorOther,DenvCyclone
Jun15_Jul1,E,CThruK,PartInhibit,Average,Stability,CDEJ,N5GtLIGt_8,Average,None,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,PC,Clear,Clear,Clear,None,Other,None,Weak,Weak,None,LittleChange,LittleChange,Average,None,Moderate,Moderate,LowNHighS,WeakPos,Increasing,MoreUnstable,CloseToDryAd,Average,Steep,XNIL,OtherRapid,ACEFK,E,SIG,SIG,SIG,MoistMDryL,DenvCyclone,SigPositive,None,AllElse,Westerly,WidespdDnsl
Aug20_Sep15,G,CThruK,PartInhibit,Average,Instability,G,LIGt0,Average,Strong,WeakUp,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Neutral,Neutral,Cloudy,PC,Cloudy,Cloudy,Strong,DCVZFavor,Strong,Weak,Weak,Marked,LittleChange,LittleChange,Average,Stifling,Moderate,Moderate,LowSHighN,WeakPos,Increasing,MoreUnstable,CloseToDryAd,Dry,CloseToDryAd,SIG,MarkedUpper,GJ,G,SVR,SVR,SVR,MoistMDryL,None,SigNegative,None,SWQuad,LVorOther,LV
May15_Jun14,C,CThruK,Stifling,Average,Stability,CDEJ,N1GtLIGt_4,Average,Weak,Neutral,Neutral,Down,Neutral,Neutral,VeryWet,Neutral,Wet,Neutral,PC,Cloudy,Cloudy,PC,Strong,Westerly,Strong,Weak,Strong,Marked,IncCapDecIns,Increasing,MoreThanAve,PartInhibit,Weak,None,LowEvrywhere,WeakPos,Increasing,MoreUnstable,Steep,Average,Steep,XNIL,MarkedUpper,ACEFK,C,XNIL,XNIL,XNIL,Other,None,SigPositive,None,NWQuad,Westerly,LongAnticyc
Jul16_Aug10,E,CThruK,PartInhibit,Average,Instability,CDEJ,N5GtLIGt_8,MoreUnstable,Weak,StrongUp,Down,Neutral,WeakUp,WeakUp,VeryWet,Wet,VeryWet,VeryWet,Cloudy,PC,Cloudy,Cloudy,Weak,DCVZFavor,None,Weak,Strong,None,DecCapIncIns,Decreasing,LessThanAve,PartInhibit,Moderate,Moderate,LowNHighS,WeakPos,Increasing,MoreUnstable,CloseToDryAd,Dry,Steep,XNIL,NoMajor,ACEFK,E,XNIL,SIG,SIG,Other,DryLine,LittleChange,None,NWQuad,LVorOther,LV
Jul2_Jul15,K,CThruK,PartInhibit,MoreThanAve,Neutral,K,N1GtLIGt_4,Average,None,Neutral,Neutral,StrongUp,Neutral,Neutral,Dry,Wet,VeryWet,VeryWet,Clear,PC,Clear,Clear,None,DCVZFavor,None,None,None,None,IncCapDecIns,Increasing,MoreThanAve,None,Moderate,Moderate,HighEvrywher,Neutral,Increasing,MoreUnstable,Steep,Average,ModerateOrLe,XNIL,StrongFront,ACEFK,K,SVR,SVR,SVR,Other,MovingFtorOt,SigPositive,None,SWQuad,LVorOther,LongAnticyc
May15_Jun14,A,AB,None,LessThanAve,Stability,ABI,N5GtLIGt_8,LessUnstable,None,Down,WeakUp,Neutral,WeakUp,WeakUp,Dry,Wet,Dry,Dry,PC,PC,PC,PC,Weak,Westerly,None,Weak,Weak,Some,LittleChange,LittleChange,LessThanAve,None,Moderate,Strong,LowNHighS,Neutral,LittleChange,LessUnstable,Stable,Dry,ModerateOrLe,XNIL,MarkedUpper,ACEFK,A,SIG,SIG,SIG,Other,DenvCyclone,LittleChange,Other,SWQuad,Westerly,DenvCyclone
Aug20_Sep15,J,CThruK,Stifling,MoreThanAve,Stability,CDEJ,N5GtLIGt_8,LessUnstable,None,WeakUp,WeakUp,Neutral,WeakUp,WeakUp,Neutral,Wet,Wet,VeryWet,PC,Cloudy,PC,PC,None,Other,None,None,Weak,None,DecCapIncIns,Decreasing,LessThanAve,TotalInhibit,Moderate,None,LowEvrywhere,Negative,Decreasing,LessUnstable,ModerateOrLe,Average,Steep,XNIL,NoMajor,GJ,J,SIG,SIG,SIG,Other,DryLine,LittleChange,None,LV,LVorOther,LV
Aug20_Sep15,K,CThruK,Stifling,MoreThanAve,Stability,K,N1GtLIGt_4,Average,Strong,Neutral,Down,Down,Down,Down,Dry,Neutral,Dry,Dry,Clear,PC,Clear,Clear,Strong,DCVZFavor,Weak,None,None,Marked,DecCapIncIns,Decreasing,Average,PartInhibit,Unfavorable,None,LowNHighS,Neutral,Decreasing,Average,ModerateOrLe,Average,Steep,SIG,NoMajor,ACEFK,K,XNIL,XNIL,SIG,DryMMoistL,MovingFtorOt,NegToPos,QStationary,NWQuad,Westerly,WidespdDnsl
Jul2_Jul15,B,AB,PartInhibit,MoreThanAve,Instability,ABI,N1GtLIGt_4,MoreUnstable,Weak,Down,WeakUp,WeakUp,WeakUp,WeakUp,Dry,Neutral,Dry,Dry,PC,Clear,PC,PC,Strong,StrongWest,Strong,Weak,Strong,Marked,DecCapIncIns,Decreasing,Average,Stifling,Unfavorable,None,LowMtsHighPl,Negative,Decreasing,MoreUnstable,Steep,Average,Steep,SVR,NoMajor,B,B,XNIL,XNIL,SVR,DryMMoistL,None,LittleChange,None,SWQuad,Westerly,DenvCyclone
Aug20_Sep15,B,AB,PartInhibit,Average,Instability,ABI,N1GtLIGt_4,Average,Strong,WeakUp,StronUp,WeakUp,StrongUp,StrongUp,Neutral,Dry,Dry,Neutral,PC,PC,PC,Cloudy,Strong,Westerly,Strong,Weak,Weak,Marked,DecCapIncIns,Decreasing,LessThanAve,PartInhibit,Weak,None,LowNHighS,Negative,Decreasing,LessUnstable,Steep,Average,Steep,XNIL,NoMajor,B,B,XNIL,XNIL,XNIL,Other,E_W_S,LittleChange,None,AllElse,LVorOther,DenvCyclone
May15_Jun14,B,AB,Stifling,MoreThanAve,Instability,ABI,LILt_8,MoreUnstable,Strong,Down,WeakUp,WeakUp,Neutral,Neutral,Wet,VeryWet,VeryWet,VeryWet,PC,Clear,Clear,Clear,Strong,Other,None,None,None,None,LittleChange,LittleChange,MoreThanAve,Stifling,Strong,Slight,HighEvrywher,Neutral,Decreasing,MoreUnstable,Steep,Dry,ModerateOrLe,SIG,NoMajor,B,B,SVR,SVR,SVR,MoistMDryL,DenvCyclone,LittleChange,Other,AllElse,LVorOther,DenvCyclone
May15_Jun14,D,CThruK,PartInhibit,LessThanAve,Neutral,CDEJ,N1GtLIGt_4,MoreUnstable,Strong,Neutral,WeakUp,Neutral,WeakUp,WeakUp,Wet,VeryWet,VeryWet,VeryWet,Clear,PC,Clear,PC,Strong,Westerly,Strong,Weak,Weak,Marked,IncCapDecIns,Increasing,Average,PartInhibit,Moderate,Slight,LowSHighN,Negative,LittleChange,MoreUnstable,CloseToDryAd,Dry,CloseToDryAd,XNIL,StrongFront,D,D,SVR,SVR,SVR,DryMMoistL,DryLine,NegToPos,None,NWQuad,Westerly,LongAnticyc
Jul2_Jul15,B,AB,TotalInhibit,MoreThanAve,Stability,ABI,N1GtLIGt_4,Average,Strong,StrongUp,WeakUp,Down,Neutral,Neutral,Wet,VeryWet,VeryWet,Wet,Clear,PC,PC,PC,Strong,DCVZFavor,Weak,None,Weak,Some,LittleChange,LittleChange,MoreThanAve,PartInhibit,Weak,Slight,LowMtsHighPl,Neutral,LittleChange,Average,Steep,Dry,ModerateOrLe,SVR,NoMajor,B,B,SVR,SVR,SVR,Other,DenvCyclone,LittleChange,None,SWQuad,LVorOther,SEQuad
Jun15_Jul1,I,CThruK,PartInhibit,LessThanAve,Stability,ABI,N1GtLIGt_4,Average,None,WeakUp,StronUp,Down,WeakUp,WeakUp,Dry,Dry,Dry,Dry,Cloudy,PC,Cloudy,PC,None,Westerly,None,Weak,Weak,None,LittleChange,LittleChange,LessThanAve,None,Weak,Slight,LowSHighN,WeakPos,LittleChange,Average,Steep,Average,CloseToDryAd,XNIL,OtherRapid,HI,I,SVR,XNIL,XNIL,MoistMDryL,E_W_S,NegToPos,Moving,SWQuad,LVorOther,E_NE
May15_Jun14,B,AB,None,LessThanAve,Neutral,ABI,N5GtLIGt_8,MoreUnstable,None,Down,Neutral,WeakUp,Neutral,Neutral,Wet,Dry,VeryWet,VeryWet,Clear,PC,Clear,PC,Weak,Other,None,Weak,Weak,None,LittleChange,LittleChange,LessThanAve,None,Moderate,Moderate,LowMtsHighPl,Negative,Increasing,MoreUnstable,Stable,Dry,Steep,XNIL,NoMajor,B,B,SVR,SVR,SVR,Other,Other,LittleChange,None,SWQuad,LVorOther,DenvCyclone
May15_Jun14,K,CThruK,TotalInhibit,MoreThanAve,Neutral,K,N5GtLIGt_8,MoreUnstable,None,WeakUp,WeakUp,StrongUp,StrongUp,StrongUp,Neutral,Neutral,Neutral,Neutral,Cloudy,Cloudy,Cloudy,Cloudy,None,DCVZFavor,None,Weak,Weak,None,DecCapIncIns,Decreasing,LessThanAve,None,Moderate,Strong,LowEvrywhere,WeakPos,Increasing,MoreUnstable,CloseToDryAd,Dry,CloseToDryAd,XNIL,MarkedUpper,ACEFK,K,SVR,SVR,SVR,DryMMoistL,None,SigPositive,None,AllElse,LVorOther,DenvCyclone
Jun15_Jul1,E,CThruK,PartInhibit,Average,Instability,CDEJ,N1GtLIGt_4,Average,Weak,WeakUp,Neutral,Down,WeakUp,WeakUp,Dry,Neutral,Neutral,Neutral,Clear,PC,PC,PC,Strong,Westerly,Strong,Strong,Weak,Some,IncCapDecIns,Increasing,Average,None,Moderate,Strong,LowSHighN,Neutral,LittleChange,Average,CloseToDryAd,Average,Steep,XNIL,StrongFront,ACEFK,E,XNIL,XNIL,XNIL,MoistMDryL,E_W_N,SigPositive,None,AllElse,LVorOther,LV
Jul16_Aug10,K,CThruK,None,LessThanAve,Instability,K,N1GtLIGt_4,MoreUnstable,Weak,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Neutral,Neutral,Neutral,Clear,PC,PC,Cloudy,Strong,Westerly,Strong,Strong,Strong,Some,LittleChange,LittleChange,LessThanAve,Stifling,Weak,Slight,LowSHighN,Neutral,LittleChange,MoreUnstable,Steep,Average,ModerateOrLe,SIG,MarkedUpper,ACEFK,K,SIG,SIG,SIG,Other,Other,PosToNeg,None,SWQuad,Westerly,DenvCyclone
Jul16_Aug10,E,CThruK,Stifling,MoreThanAve,Neutral,CDEJ,N5GtLIGt_8,LessUnstable,Weak,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Dry,Dry,Cloudy,PC,Cloudy,Cloudy,Weak,Westerly,None,Strong,Weak,Marked,IncCapDecIns,Increasing,MoreThanAve,None,Unfavorable,None,HighEvrywher,Neutral,LittleChange,LessUnstable,CloseToDryAd,Average,ModerateOrLe,SIG,NoMajor,ACEFK,E,XNIL,XNIL,SIG,MoistMDryL,DryLine,PosToNeg,Other,SWQuad,LVorOther,LV
Jul16_Aug10,K,CThruK,PartInhibit,Average,Instability,K,N1GtLIGt_4,MoreUnstable,Strong,Down,Neutral,Down,Neutral,Neutral,Wet,VeryWet,VeryWet,VeryWet,PC,PC,PC,PC,Strong,DCVZFavor,Weak,Strong,Strong,Marked,DecCapIncIns,Decreasing,LessThanAve,Stifling,Moderate,Slight,HighEvrywher,Neutral,LittleChange,MoreUnstable,ModerateOrLe,VeryMoist,ModerateOrLe,XNIL,MarkedUpper,ACEFK,K,XNIL,XNIL,XNIL,DryMMoistL,Other,PosToNeg,Moving,NWQuad,Westerly,WidespdDnsl
Aug20_Sep15,B,AB,Stifling,LessThanAve,Neutral,ABI,N1GtLIGt_4,MoreUnstable,Weak,StrongUp,Down,Neutral,Neutral,Neutral,Neutral,Dry,Dry,Dry,PC,Clear,Clear,Clear,Strong,DCVZFavor,Weak,None,None,Marked,LittleChange,LittleChange,LessThanAve,PartInhibit,Weak,None,LowMtsHighPl,WeakPos,LittleChange,MoreUnstable,ModerateOrLe,VeryMoist,Steep,SVR,NoMajor,B,B,XNIL,XNIL,SVR,DryMMoistL,DenvCyclone,PosToNeg,Other,SWQuad,Westerly,DenvCyclone
May15_Jun14,B,AB,PartInhibit,LessThanAve,Stability,ABI,N1GtLIGt_4,LessUnstable,Strong,Down,Neutral,Neutral,Down,Down,Neutral,VeryWet,Dry,Dry,Cloudy,PC,Cloudy,Cloudy,Strong,Westerly,Weak,None,Weak,Marked,LittleChange,LittleChange,LessThanAve,PartInhibit,Weak,None,HighEvrywher,Neutral,Decreasing,LessUnstable,Stable,VeryMoist,ModerateOrLe,SVR,NoMajor,B,B,XNIL,XNIL,SVR,Other,DenvCyclone,LittleChange,Moving,SWQuad,LVorOther,DenvCyclone
May15_Jun14,I,CThruK,PartInhibit,LessThanAve,Neutral,ABI,LILt_8,MoreUnstable,Strong,Down,Neutral,Down,Down,Down,Dry,VeryWet,Neutral,Dry,Clear,PC,PC,PC,Strong,Other,None,None,Weak,Marked,IncCapDecIns,Increasing,LessThanAve,None,Moderate,Strong,LowSHighN,WeakPos,Increasing,MoreUnstable,Stable,Average,ModerateOrLe,SVR,OtherRapid,HI,I,SIG,SIG,SVR,DryMMoistL,E_W_S,LittleChange,Moving,AllElse,LVorOther,E_NE
May15_Jun14,K,CThruK,None,Average,Stability,K,N5GtLIGt_8,MoreUnstable,Strong,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Wet,Wet,PC,PC,PC,PC,Strong,DCVZFavor,Weak,Weak,Strong,Some,LittleChange,LittleChange,Average,PartInhibit,Moderate,Slight,Other,StrongPos,Increasing,MoreUnstable,Steep,Average,Steep,SIG,StrongFront,ACEFK,K,SIG,SIG,SIG,MoistMDryL,MovingFtorOt,SigPositive,Other,SWQuad,LVorOther,LongAnticyc
Jul16_Aug10,J,CThruK,None,Average,Stability,CDEJ,N1GtLIGt_4,LessUnstable,None,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Neutral,Neutral,PC,Clear,Clear,Clear,Strong,Other,None,Weak,Weak,None,DecCapIncIns,Decreasing,LessThanAve,TotalInhibit,Weak,None,LowAtStation,Neutral,LittleChange,LessUnstable,Steep,Dry,CloseToDryAd,SVR,NoMajor,GJ,J,XNIL,XNIL,SVR,MoistMDryL,None,LittleChange,Other,LV,LVorOther,E_NE
Aug20_Sep15,E,CThruK,PartInhibit,Average,Neutral,CDEJ,N5GtLIGt_8,MoreUnstable,Strong,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Cloudy,PC,Cloudy,PC,Strong,StrongWest,Strong,None,Strong,Marked,DecCapIncIns,Decreasing,LessThanAve,Stifling,Moderate,Moderate,Other,Neutral,Increasing,MoreUnstable,Steep,Average,ModerateOrLe,SVR,NoMajor,ACEFK,E,XNIL,XNIL,SVR,MoistMDryL,DenvCyclone,LittleChange,QStationary,SWQuad,LVorOther,LV
May15_Jun14,I,CThruK,PartInhibit,Average,Stability,ABI,N1GtLIGt_4,LessUnstable,Strong,Down,Down,Neutral,Down,Down,Neutral,Wet,Wet,Wet,PC,PC,Clear,Clear,Strong,StrongWest,Weak,Weak,Weak,Marked,LittleChange,LittleChange,Average,PartInhibit,Weak,None,LowMtsHighPl,Neutral,Decreasing,LessUnstable,Steep,Dry,CloseToDryAd,SVR,NoMajor,HI,I,XNIL,XNIL,SVR,Other,E_W_S,PosToNeg,QStationary,NWQuad,LVorOther,DenvCyclone
Aug11_Aug20,I,CThruK,PartInhibit,MoreThanAve,Neutral,ABI,LIGt0,LessUnstable,Strong,StrongUp,Neutral,Neutral,WeakUp,WeakUp,VeryWet,Neutral,Wet,Wet,Clear,PC,PC,Clear,Strong,DCVZFavor,Strong,Weak,Weak,Some,IncCapDecIns,Increasing,MoreThanAve,None,Strong,Moderate,LowSHighN,WeakPos,Increasing,MoreUnstable,Steep,Dry,CloseToDryAd,SVR,StrongFront,HI,I,XNIL,XNIL,SVR,DryMMoistL,E_W_S,PosToNeg,QStationary,AllElse,Westerly,DenvCyclone
Jun15_Jul1,F,CThruK,PartInhibit,LessThanAve,Stability,F,N1GtLIGt_4,Average,Strong,Down,Neutral,StrongUp,WeakUp,WeakUp,VeryWet,Neutral,Neutral,Wet,PC,Clear,Clear,PC,Strong,DCVZFavor,Strong,Strong,Weak,Marked,IncCapDecIns,Increasing,MoreThanAve,None,Moderate,Moderate,HighEvrywher,WeakPos,Increasing,MoreUnstable,ModerateOrLe,VeryMoist,ModerateOrLe,SIG,NoMajor,ACEFK,F,XNIL,XNIL,SIG,Other,None,LittleChange,None,LV,LVorOther,LV
Jul2_Jul15,K,CThruK,None,LessThanAve,Neutral,K,N1GtLIGt_4,Average,Strong,Down,Neutral,Down,Down,Down,Neutral,Neutral,Wet,Wet,PC,PC,PC,PC,Strong,DCVZFavor,Strong,None,Strong,Some,LittleChange,LittleChange,LessThanAve,None,Unfavorable,None,Other,Negative,Decreasing,LessUnstable,Steep,Average,ModerateOrLe,SIG,StrongFront,ACEFK,K,XNIL,XNIL,SIG,DryMMoistL,DryLine,NegToPos,Moving,AllElse,Westerly,LV
Aug20_Sep15,I,CThruK,PartInhibit,MoreThanAve,Stability,ABI,N1GtLIGt_4,LessUnstable,Weak,StrongUp,WeakUp,Down,Neutral,Neutral,Dry,Neutral,Neutral,Neutral,PC,PC,PC,PC,Weak,Other,None,Weak,Strong,None,LittleChange,LittleChange,MoreThanAve,TotalInhibit,Moderate,None,LowSHighN,Neutral,Decreasing,LessUnstable,Steep,VeryMoist,Steep,SIG,NoMajor,HI,I,XNIL,XNIL,SIG,MoistMDryL,E_W_S,NegToPos,QStationary,AllElse,LVorOther,DenvCyclone
May15_Jun14,K,CThruK,TotalInhibit,MoreThanAve,Instability,K,N1GtLIGt_4,Average,Weak,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,Neutral,Neutral,PC,Clear,Clear,Clear,Strong,StrongWest,Strong,None,Strong,Marked,LittleChange,LittleChange,MoreThanAve,PartInhibit,Moderate,Strong,LowMtsHighPl,Neutral,Decreasing,LessUnstable,Stable,Dry,Steep,SIG,StrongFront,ACEFK,K,SIG,SIG,SIG,Other,E_W_N,SigPositive,None,NWQuad,Westerly,SEQuad
