aar_mod,aks_m2,aks_vgt,antplnt,bgbyg,dg25,dgv1059,dgv5980,exptgens,forfrugt,frspdag,jordinf,jordn,jordtype,keraks,komm,ksort,markgrm,mod_nmin,nedbarea,ngodn,ngodnn,ngodnt,ngtilg,nmin,nopt,nplac,nprot,ntilg,partigerm,pesticid,potnmin,protein,rokap,s2225,s2528,saakern,saamng,saatid,slt22,sort,sorttkv,spndx,srtprot,srtsize,tkv,tkvs,udb
x20,x_1150,x650_700,x325_375,x3_5_4_0,x_22_5,x61_70,x5_10,x40_50,Cer_rotation,x19_21,x_99_1_00,x_120,JB_6,x15_17,state4,x_85,x85_90,x30_45,x2__375_500_,x_45,x_45,x75_90,x_45,x45_60,x120_135,worked_in_solil,x120_140,x150_165,x85_90,x_2,x75_90,x11_0_11_5,x187_5_212_5,x1_5,x30_35,x375_424,x170_190,x26_3_10_4,x3_5,andre,x3,x9_10,x3,x__1,x35_40,x42_44,x_80
x10,x950_1150,x550_600,x_175,x3_5_4_0,x_22_5,x51_60,x15_25,x40_50,Beets,x19_21,x93__95,x90_105,JB_5,x15_17,state2,x_85,x90_93,x30_45,x3___500_,x_45,x_45,x75_90,x_45,x45_60,x135_150,worked_in_solil,x100_120,x120_135,x95_97,x_2,x30_45,x_9,x112_5_137_5,x1_5,x35_40,x_175,x70_90,x26_3_10_4,x3_5,Korinna,x5,x9_10,x5,x1,x_35,x46_48,x60_65
x_10,x750_950,x600_650,x375_425,x4_5_5_0,x_22_5,x61_70,x5_10,x40_50,Cereals,x25_27,x90__93,x90_105,JB_8,x21_23,state1,x_85,x90_93,x45_60,x3___500_,x_45,x_45,x75_90,x45_60,x30_45,x120_135,Top_dressed,x100_120,x150_165,x98_99,x_2,x45_60,x11_5_12_0,x187_5_212_5,x5_10,x20_25,x_450,x210_230,x_26_3,x3_5,Lenka,x7,x9_10,x1,x1,x47_5_50,x30_35,x50_55
x_25,x650_750,x650_700,x375_425,x4_0_4_5,x27_5_32_5,x61_70,x10_15,x40_50,Other,x17_19,x_95__97,x45_60,JB_3,x19_21,state1,x_85,x94_95,x30_45,x3___500_,x75_90,x75_90,x75_90,x60_75,x0_15,x120_135,worked_in_solil,x60_80,x120_135,x98_99,x_2,x15_30,x11_0_11_5,x87_5_112_5,x5_10,x60_65,x375_424,x170_190,x_26_3,x3_5,Marielle,x5,x9_10,x4,x0,x_35,x42_44,x40_50
x5,x_1150,x600_650,x275_325,x_3_0,x37_5_47_5,x51_60,x_35,x40_50,Cer_rotation,x_15,x_99_1_00,x45_60,JB_4,x13_15,state1,x85_90,x97_98,x15_30,x3___500_,x60_75,x60_75,x90_105,x60_75,x15_30,x120_135,Placed,x60_80,x120_135,x98_99,x_2,x30_45,x10_5_11_0,x137_5_162_5,x1_5,x60_65,x275_325,x110_130,x11_4_20_4,x3_5,Semal,x5,x9_10,x3,x_1,x35_40,x42_44,x_80
x20,x650_750,x550_600,x175_225,x4_0_4_5,x_22_5,x61_70,x10_15,x30_40,Cereals,x15_17,x_99_1_00,x15_30,JB_2,x15_17,state4,x_85,x95_97,x0_15,x3___500_,x90_105,x90_105,x105_120,x60_75,x15_30,x120_135,worked_in_solil,x40_60,x75_90,x97_98,x_2,x15_30,x_12_0,x87_5_112_5,x1_5,x25_30,x175_225,x90_110,x_26_3,x3_5,Krona,x5,x9_10,x4,x3,x50_55,x48_50,x40_50
x25,x350_450,x950_1050,x225_275,x_3_0,x_22_5,x51_60,x_35,x40_50,Beets,x17_19,x_99_1_00,x105_120,JB_5,x15_17,state2,x_98,x97_98,x0_15,x2__375_500_,x_45,x_45,x105_120,x45_60,x30_45,x135_150,Top_dressed,x100_120,x150_165,x98_99,x_2,x90_105,x11_0_11_5,x137_5_162_5,x0_1,x40_45,x225_275,x110_130,x26_3_10_4,x0_1,Selim,x5,x9_10,x2,x3,x42_5_45,x44_46,x40_50
x_5,x450_550,x750_850,x225_275,x3_0_3_5,x_22_5,x51_60,x_35,x30_40,Cer_rotation,x_15,x90__93,x60_75,JB_2,x19_21,state1,x_85,x85_90,x15_30,x2__375_500_,x60_75,x60_75,x90_105,x60_75,x15_30,x120_135,worked_in_solil,x80_100,x120_135,x97_98,x_2,x30_45,x11_5_12_0,x137_5_162_5,x1_5,x15_20,x275_325,x130_150,x_26_4,x3_5,Nevada,x5,x9_10,x3,x0,x35_40,x48_50,x30_40
x20,x750_950,x600_650,x275_325,x4_5_5_0,x_22_5,x51_60,x0_5,x_30,Cer_rotation,x15_17,x_99_1_00,x15_30,JB_3,x19_21,state2,x_85,x80_85,x0_15,x3___500_,x75_90,x75_90,x90_105,x75_90,x15_30,x_120,Placed,x_40,x105_120,x80_85,x_2,x15_30,x10_0_10_5,x62_5_87_5,x5_10,x70_75,x325_375,x150_170,x11_4_20_4,x3_5,Alexis,x7,x9_10,x2,x2,x42_5_45,x44_46,x50_55
x_20,x350_450,x850_950,x_175,x3_5_4_0,x_22_5,x61_70,x15_25,x50_60,Other,x19_21,x_99_1_00,x_120,Jb_7,x15_17,state3,x_98,x95_97,x60_75,x1___375_,x_45,x_45,x60_75,x_45,x45_60,x150_165,Placed,x120_140,x150_165,x95_97,x_2,x_105,x9_0_9_5,x137_5_162_5,x0_1,x65_70,x_175,x50_70,x26_3_10_4,x1_2,Sehila,x5,x9_10,x4,x1,x_55,x46_48,x30_40
x_20,x550_650,x950_1050,x225_275,x3_5_4_0,x_22_5,x61_70,x15_25,x30_40,Other,x_15,x_99_1_00,x75_90,JB_3,x15_17,state4,x_98,x97_98,x30_45,x3___500_,x45_60,x45_60,x75_90,x60_75,x15_30,x120_135,Top_dressed,x80_100,x150_165,x97_98,x_2,x30_45,x11_5_12_0,x87_5_112_5,x0_1,x45_50,x225_275,x110_130,x11_4_20_4,x0_1,Reggae,x5,x9_10,x4,x1,x_55,x44_46,x55_60
x_25,x550_650,x600_650,x375_425,x4_5_5_0,x_22_5,x25_40,x5_10,x40_50,Beets,x19_21,x_95__97,x75_90,JB_5,x13_15,state1,x90_95,x90_93,x_75,x1___375_,x_45,x45_60,x_45,x_45,x45_60,x120_135,worked_in_solil,x140_160,x105_120,x95_97,x_2,x0_15,x9_5_10_0,x112_5_137_5,x0_1,x35_40,x_450,x230_250,x21_4_26_4,x3_5,Teal,x4,x9_10,x3,x2,x47_5_50,x50_55,x30_40
x_20,x_350,x950_1050,x375_425,x_5_0,x_22_5,x61_70,x0_5,x40_50,Other,x15_17,x_99_1_00,x_120,JB_6,x21_23,state0,x90_95,x99_100,x45_60,x1___375_,x_45,x_45,x60_75,x_45,x30_45,x135_150,Placed,x120_140,x150_165,x99_100,x_2,x_105,x9_5_10_0,x162_5_187_5,x0_1,x75_80,x375_424,x150_170,x11_4_20_4,x3_5,Maud,x5,x9_10,x2,x2,x_35,x40_42,x_30
x_25,x_350,x_1050,x_175,x3_0_3_5,x11_5_27_5,x41_50,x_35,x50_60,Cer_rotation,x_15,x_99_1_00,x_120,Jb_7,x19_21,state0,x_98,x80_85,x60_75,x2__375_500_,x_45,x_45,x60_75,x_45,x30_45,x150_165,Top_dressed,x120_140,x165_180,x80_85,x_2,x60_75,x_9,x162_5_187_5,x0_1,x80_85,x_175,x90_110,x_26_4,x0_1,Loma,x5,x9_10,x2,x2,x_55,x55_60,x30_40
x25,x650_750,x850_950,x_425,x4_0_4_5,x32_5_37_5,x25_40,x10_15,x40_50,Beets,x15_17,x_99_1_00,x75_90,JB_2,x15_17,state3,x_98,x98__99,x0_15,x1___375_,x60_75,x60_75,x105_120,x60_75,x30_45,x135_150,Placed,x80_100,x150_165,x99_100,x_2,x60_75,x_9,x87_5_112_5,x0_1,x55_60,x_450,x150_170,x11_4_20_4,x1_2,Peel,x6,x9_10,x4,x0,x_35,x30_35,x60_65
x_25,x750_950,x700_750,x325_375,x3_5_4_0,x_22_5,x41_50,x15_25,x30_40,Cereals,x15_17,x93__95,x60_75,JB_6,x15_17,state0,x90_95,x94_95,x45_60,x3___500_,x_45,x_45,x60_75,x_45,x15_30,x_120,Placed,x60_80,x90_105,x99_100,x_2,x15_30,x9_5_10_0,x112_5_137_5,x0_1,x75_80,x325_375,x130_150,x26_3_10_4,x3_5,Blenheim,x5,x9_10,x2,x_1,x45_47_5,x42_44,x60_65
x10,x750_950,x600_650,x325_375,x3_0_3_5,x_57_5,x_70,x_35,x40_50,Beets,x23_25,x_94__90,x60_75,JB_4,x17_19,state4,x_85,x85_90,x0_15,x2__375_500_,x45_60,x45_60,x105_120,x_45,x15_30,x120_135,worked_in_solil,x60_80,x90_105,x98_99,x_2,x45_60,x9_0_9_5,x87_5_112_5,x5_10,x5_10,x375_424,x170_190,x_26_3,x3_5,Evelyn,x7,x9_10,x3,x0,x47_5_50,x44_46,x50_55
x25,x750_950,x850_950,x375_425,x4_0_4_5,x_22_5,x51_60,x10_15,x30_40,Cer_rotation,x_15,x_97__98,x90_105,JB_8,x15_17,state4,x_98,x90_93,x0_15,x1___375_,x_45,x_45,x105_120,x45_60,x30_45,x120_135,Top_dressed,x100_120,x150_165,x93_95,x_2,x75_90,x9_5_10_0,x187_5_212_5,x0_1,x60_65,x_450,x230_250,x11_4_20_4,x1_2,Etna,x3,x9_10,x2,x0,x_55,x30_35,x70_80
x25,x750_950,x550_600,x175_225,x4_5_5_0,x37_5_47_5,x51_60,x10_15,x40_50,Cer_rotation,x_15,x_97__98,x0_15,JB_3,x15_17,state1,x85_90,x90_93,x0_15,x2__375_500_,x105_120,x120_135,x105_120,x60_75,x15_30,x135_150,worked_in_solil,x_40,x75_90,x93_95,x_2,x0_15,x10_0_10_5,x62_5_87_5,x1_5,x30_35,x175_225,x90_110,x21_4_26_4,x3_5,Princesse,x5,x9_10,x3,x2,x35_40,x44_46,x40_50
x25,x_1150,x_550,x275_325,x3_5_4_0,x32_5_37_5,x_25,x5_10,x60_70,Other,x_15,x_99_1_00,x0_15,Jb_7,x_13,state4,x95_98,x95_97,x0_15,x3___500_,x135_150,x135_150,x135_150,x45_60,x15_30,x135_150,Top_dressed,x_40,x_75,x95_97,x_2,x0_15,x9_5_10_0,x137_5_162_5,x0_1,x65_70,x275_325,x130_150,x_26_4,x3_5,Limbo,x4,x9_10,x4,x2,x_35,x46_48,x65_70
x10,x_1150,x550_600,x_175,x4_0_4_5,x_22_5,x61_70,x10_15,x30_40,Cereals,x25_27,x90__93,x60_75,JB_2,x17_19,state0,x_85,x_75,x15_30,x1___375_,x60_75,x60_75,x90_105,x45_60,x30_45,x120_135,Top_dressed,x80_100,x105_120,x_80,x_2,x30_45,x10_0_10_5,x62_5_87_5,x5_10,x55_60,x175_225,x70_90,x26_3_10_4,x3_5,Mie,x5,x9_10,x4,x2,x42_5_45,x44_46,x70_80
x_10,x550_650,x750_850,x275_325,x3_0_3_5,x_22_5,x25_40,x15_25,x_30,Cereals,x_15,x_99_1_00,x15_30,Jb_1_,x15_17,state2,x95_98,x95_97,x15_30,x2__375_500_,x75_90,x75_90,x75_90,x75_90,x0_15,x_120,worked_in_solil,x_40,x90_105,x95_97,x_2,x0_15,x_9,x37_5_62_5,x0_1,x65_70,x275_325,x170_190,x21_4_26_4,x3_5,Ragtime,x6,x9_10,x3,x0,x35_40,x55_60,x40_50
x10,x650_750,x750_850,x_175,x_3_0,x37_5_47_5,x61_70,x25_35,x50_60,Beets,x21_23,x_98__99,x30_45,JB_5,x19_21,state0,x_85,x97_98,x15_30,x2__375_500_,x90_105,x90_105,x105_120,x45_60,x30_45,x135_150,Top_dressed,x40_60,x75_90,x98_99,x_2,x0_15,x10_5_11_0,x137_5_162_5,x1_5,x35_40,x_175,x50_70,x21_4_26_4,x3_5,Bartok,x4,x9_10,x4,x_1,x42_5_45,x42_44,x55_60
x_15,x550_650,x950_1050,x325_375,x3_5_4_0,x_22_5,x25_40,x25_35,x30_40,Cereals,x19_21,x93__95,x45_60,Jb_1_,x17_19,state3,x_98,x75_80,x30_45,x2__375_500_,x60_75,x60_75,x75_90,x105_120,x15_30,x120_135,Top_dressed,x60_80,x165_180,x80_85,x_2,x0_15,x11_0_11_5,x62_5_87_5,x0_1,x90_95,x_450,x210_230,x26_3_10_4,x1_2,Marina,x5,x9_10,x3,x2,x40_42_5,x30_35,x60_65
x_25,x950_1150,x650_700,x325_375,x4_5_5_0,x_22_5,x61_70,x0_5,x30_40,Cer_rotation,x19_21,x_99_1_00,x105_120,JB_6,x19_21,state2,x_85,x80_85,x60_75,x3___500_,x_45,x_45,x45_60,x_45,x30_45,x120_135,Placed,x100_120,x135_150,x80_85,x_2,x45_60,x10_5_11_0,x162_5_187_5,x5_10,x95_100,x_450,x170_190,x26_3_10_4,x3_5,Tofta,x5,x9_10,x3,x1,x50_55,x40_42,x70_80
x_10,x_350,x850_950,x225_275,x4_5_5_0,x27_5_32_5,x41_50,x0_5,x50_60,Beets,x_15,x_99_1_00,x105_120,Jb_7,x17_19,state2,x_98,x94_95,x45_60,x2__375_500_,x_45,x_45,x75_90,x_45,x30_45,x135_150,Placed,x100_120,x135_150,x93_95,x_2,x60_75,x_9,x162_5_187_5,x0_1,x75_80,x225_275,x110_130,x21_4_26_4,x2_3,Give,x6,x9_10,x5,x2,x50_55,x44_46,x_30
x_15,x350_450,x950_1050,x325_375,x_3_0,x27_5_32_5,x61_70,x_35,x30_40,Cer_rotation,x25_27,x90__93,x90_105,JB_4,x19_21,state4,x_98,x75_80,x30_45,x2__375_500_,x_45,x_45,x75_90,x_45,x15_30,x120_135,worked_in_solil,x100_120,x120_135,x80_85,x_2,x45_60,x11_5_12_0,x112_5_137_5,x0_1,x25_30,x_450,x210_230,x_26_3,x2_3,Maresi,x5,x9_10,x5,x1,x_35,x40_42,x40_50
x20,x650_750,x950_1050,x275_325,x4_0_4_5,x11_5_27_5,x41_50,x5_10,x50_60,Cer_rotation,x_15,x_99_1_00,x75_90,Jb_7,x21_23,state3,x90_95,x75_80,x30_45,x1___375_,x75_90,x75_90,x90_105,x75_90,x45_60,x150_165,worked_in_solil,x80_100,x165_180,x_80,x_2,x30_45,x_12_0,x137_5_162_5,x0_1,x45_50,x375_424,x170_190,x21_4_26_4,x3_5,Jarek,x6,x9_10,x3,x0,x50_55,x46_48,x70_80
x15,x750_950,x650_700,x325_375,x4_0_4_5,x32_5_37_5,x25_40,x10_15,x40_50,Cereals,x_15,x_98__99,x0_15,JB_2,x15_17,state4,x90_95,x75_80,x0_15,x2__375_500_,x120_135,x120_135,x120_135,x75_90,x15_30,x120_135,worked_in_solil,x_40,x75_90,x_80,x_2,x0_15,x9_0_9_5,x87_5_112_5,x1_5,x5_10,x_450,x210_230,x21_4_26_4,x3_5,Amber,x6,x9_10,x4,x0,x42_5_45,x42_44,x55_60
x_15,x450_550,x850_950,x175_225,x3_5_4_0,x11_5_27_5,x51_60,x_35,x40_50,Clovergrass,x19_21,x_99_1_00,x90_105,JB_4,x19_21,state1,x90_95,x80_85,x30_45,x3___500_,x_45,x_45,x60_75,x_45,x15_30,x120_135,Placed,x100_120,x120_135,x80_85,x_2,x60_75,x10_0_10_5,x87_5_112_5,x0_1,x25_30,x225_275,x110_130,x26_3_10_4,x3_5,Collie,x3,x9_10,x2,x0,x47_5_50,x46_48,x40_50
x_25,x950_1150,x850_950,x175_225,x4_0_4_5,x11_5_27_5,x61_70,x15_25,x30_40,Beets,x19_21,x_99_1_00,x_120,JB_8,x19_21,state0,x85_90,x80_85,x60_75,x2__375_500_,x_45,x_45,x_45,x45_60,x30_45,x120_135,Top_dressed,x120_140,x180_195,x80_85,x_2,x90_105,x11_0_11_5,x187_5_212_5,x0_1,x15_20,x225_275,x110_130,x26_3_10_4,x3_5,Shamu,x5,x9_10,x3,x1,x47_5_50,x44_46,x_80
x_25,x950_1150,x600_650,x375_425,x4_0_4_5,x27_5_32_5,x61_70,x5_10,x40_50,Other,x17_19,x_99_1_00,x_120,JB_9,x21_23,state0,x_85,x95_97,x60_75,x1___375_,x_45,x_45,x45_60,x_45,x30_45,x135_150,worked_in_solil,x120_140,x150_165,x95_97,x_2,x_105,x10_0_10_5,x187_5_212_5,x5_10,x70_75,x375_424,x230_250,x26_3_10_4,x3_5,Prisma,x7,x9_10,x1,x1,x35_40,x55_60,x65_70
x15,x350_450,x_1050,x175_225,x4_0_4_5,x47_5_57_5,x_25,x0_5,x40_50,Beets,x_15,x_99_1_00,x30_45,Jb_1_,x15_17,state4,x_98,x90_93,x0_15,x2__375_500_,x90_105,x90_105,x105_120,x90_105,x15_30,x135_150,Placed,x40_60,x135_150,x90_93,x_2,x15_30,x9_0_9_5,x37_5_62_5,x0_1,x85_90,x175_225,x90_110,x21_4_26_4,x0_1,Maresi,x5,x9_10,x5,x2,x42_5_45,x44_46,x40_50
x25,x950_1150,x_550,x275_325,x4_0_4_5,x37_5_47_5,x_25,x0_5,x30_40,Cer_rotation,x_15,x_97__98,x15_30,Jb_1_,x_13,state3,x95_98,x95_97,x0_15,x1___375_,x105_120,x105_120,x105_120,x_45,x15_30,x120_135,Top_dressed,x40_60,x_75,x97_98,x_2,x15_30,x_9,x37_5_62_5,x0_1,x20_25,x275_325,x170_190,x_26_4,x3_5,Limbo,x5,x9_10,x3,x3,x_55,x55_60,x50_55
x_25,x_1150,x_550,x175_225,x4_0_4_5,x_22_5,x_70,x15_25,x30_40,Clovergrass,x23_25,x_95__97,x75_90,JB_3,x17_19,state4,x_85,x90_93,x30_45,x3___500_,x_45,x_45,x45_60,x_45,x0_15,x_120,Placed,x80_100,x105_120,x95_97,x_2,x45_60,x9_0_9_5,x87_5_112_5,x5_10,x90_95,x175_225,x90_110,x_26_3,x3_5,Ragtime,x8,x9_10,x2,x_1,x_55,x48_50,x65_70
x25,x_1150,x_550,x175_225,x4_5_5_0,x27_5_32_5,x51_60,x10_15,x30_40,Cereals,x_15,x_99_1_00,x15_30,JB_2,x13_15,state3,x_85,x98__99,x0_15,x1___375_,x75_90,x75_90,x105_120,x75_90,x30_45,x_120,Placed,x_40,x90_105,x98_99,x_2,x0_15,x10_5_11_0,x112_5_137_5,x1_5,x0_5,x175_225,x110_130,x_26_4,x3_5,Vintage,x3,x9_10,x4,x1,x35_40,x55_60,x65_70
x_20,x750_950,x700_750,x325_375,x3_5_4_0,x32_5_37_5,x51_60,x0_5,x30_40,Cer_rotation,x17_19,x_99_1_00,x_120,JB_2,x21_23,state3,x_85,x98__99,x30_45,x3___500_,x_45,x_45,x75_90,x_45,x15_30,x135_150,Placed,x120_140,x150_165,x98_99,x_2,x90_105,x_12_0,x87_5_112_5,x5_10,x60_65,x325_375,x150_170,x_26_4,x3_5,Saxo,x5,x9_10,x2,x2,x47_5_50,x46_48,x60_65
x_25,x350_450,x700_750,x325_375,x3_5_4_0,x_22_5,x_25,x5_10,x40_50,Cereals,x19_21,x_99_1_00,x30_45,Jb_1_,x13_15,state2,x95_98,x98__99,x30_45,x3___500_,x90_105,x90_105,x90_105,x90_105,x0_15,x135_150,Placed,x40_60,x120_135,x98_99,x_2,x0_15,x9_5_10_0,x62_5_87_5,x0_1,x90_95,x325_375,x150_170,x11_4_20_4,x2_3,Jill,x3,x9_10,x3,x2,x40_42_5,x46_48,x_30
x25,x950_1150,x_550,x275_325,x3_5_4_0,x47_5_57_5,x61_70,x25_35,x30_40,Cer_rotation,x_15,x_95__97,x15_30,JB_3,x15_17,state4,x_85,x_75,x0_15,x3___500_,x90_105,x90_105,x105_120,x45_60,x15_30,x120_135,worked_in_solil,x40_60,x75_90,x_80,x_2,x15_30,x10_0_10_5,x87_5_112_5,x1_5,x20_25,x_450,x150_170,x11_4_20_4,x3_5,Limbo,x6,x9_10,x3,x2,x42_5_45,x30_35,x50_55
x10,x_350,x_1050,x275_325,x_3_0,x_22_5,x25_40,x_35,x50_60,Other,x_15,x_99_1_00,x0_15,Jb_7,x13_15,state4,x_98,x80_85,x30_45,x1___375_,x90_105,x120_135,x90_105,x105_120,x45_60,x135_150,worked_in_solil,x_40,x120_135,x80_85,x_2,x90_105,x9_5_10_0,x137_5_162_5,x0_1,x10_15,x325_375,x130_150,x11_4_20_4,x0_1,Peel,x6,x9_10,x3,x0,x_55,x40_42,x30_40
x_5,x_350,x750_850,x175_225,x3_0_3_5,x37_5_47_5,x41_50,x25_35,x30_40,Cer_rotation,x15_17,x_99_1_00,x15_30,JB_3,x15_17,state2,x_98,x99_100,x0_15,x2__375_500_,x105_120,x105_120,x105_120,x75_90,x0_15,x120_135,worked_in_solil,x40_60,x90_105,x99_100,x_2,x0_15,x11_0_11_5,x112_5_137_5,x0_1,x65_70,x175_225,x90_110,x11_4_20_4,x3_5,Caruso,x5,x9_10,x5,x1,x40_42_5,x46_48,x_30
x_5,x650_750,x850_950,x_175,x3_5_4_0,x_22_5,x41_50,x15_25,x50_60,Cer_rotation,x17_19,x_98__99,x75_90,Jb_7,x15_17,state1,x_98,x90_93,x30_45,x1___375_,x75_90,x75_90,x90_105,x75_90,x30_45,x150_165,Top_dressed,x80_100,x165_180,x93_95,x_2,x30_45,x11_0_11_5,x137_5_162_5,x0_1,x45_50,x_175,x70_90,x11_4_20_4,x1_2,Maresi,x5,x9_10,x4,x2,x47_5_50,x48_50,x60_65
x_5,x550_650,x700_750,x275_325,x4_5_5_0,x_22_5,x61_70,x15_25,x40_50,Clovergrass,x_15,x90__93,x90_105,JB_2,x_23,state1,x_85,x90_93,x0_15,x2__375_500_,x_45,x_45,x90_105,x_45,x0_15,x120_135,worked_in_solil,x100_120,x120_135,x99_100,x_2,x75_90,x9_0_9_5,x87_5_112_5,x1_5,x55_60,x325_375,x110_130,x11_4_20_4,x3_5,Teal,x5,x9_10,x5,x1,x_55,x30_35,x40_50
x_20,x950_1150,x750_850,x175_225,x3_5_4_0,x11_5_27_5,x51_60,x15_25,x40_50,Clovergrass,x15_17,x_99_1_00,x_120,JB_6,x21_23,state3,x_85,x80_85,x60_75,x2__375_500_,x_45,x_45,x_45,x_45,x45_60,x120_135,Top_dressed,x120_140,x165_180,x80_85,x_2,x_105,x9_0_9_5,x187_5_212_5,x5_10,x25_30,x225_275,x110_130,x21_4_26_4,x3_5,Derkado,x5,x9_10,x5,x1,x_35,x44_46,x_80
x_20,x350_450,x950_1050,x275_325,x_3_0,x27_5_32_5,x61_70,x_35,x50_60,Cereals,x_15,x_99_1_00,x75_90,JB_6,x21_23,state2,x90_95,x80_85,x45_60,x1___375_,x45_60,x45_60,x90_105,x45_60,x30_45,x135_150,Placed,x80_100,x135_150,x80_85,x_2,x15_30,x_9,x187_5_212_5,x0_1,x20_25,x325_375,x170_190,x11_4_20_4,x3_5,Lenka,x5,x9_10,x2,x1,x45_47_5,x48_50,x30_40
x_10,x650_750,x_1050,x375_425,x3_0_3_5,x_22_5,x61_70,x_35,x50_60,Cer_rotation,x19_21,x93__95,x75_90,JB_4,x21_23,state3,x_98,x90_93,x30_45,x3___500_,x60_75,x60_75,x90_105,x60_75,x15_30,x135_150,Top_dressed,x80_100,x150_165,x97_98,x_2,x45_60,x11_5_12_0,x112_5_137_5,x0_1,x85_90,x_450,x210_230,x_26_3,x1_2,Alexis,x6,x9_10,x3,x2,x_55,x30_35,x_80
x20,x450_550,x850_950,x225_275,x3_0_3_5,x37_5_47_5,x61_70,x25_35,x40_50,Cer_rotation,x15_17,x_99_1_00,x75_90,JB_5,x17_19,state4,x95_98,x90_93,x30_45,x1___375_,x_45,x_45,x75_90,x_45,x45_60,x120_135,Top_dressed,x80_100,x105_120,x90_93,x_2,x30_45,x9_5_10_0,x137_5_162_5,x0_1,x90_95,x275_325,x110_130,x11_4_20_4,x2_3,Loma,x4,x9_10,x3,x3,x45_47_5,x35_40,x40_50
x_25,x650_750,x750_850,x_175,x3_5_4_0,x11_5_27_5,x51_60,x15_25,x50_60,Other,x15_17,x90__93,x105_120,Jb_7,x19_21,state1,x_85,x80_85,x_75,x1___375_,x_45,x_45,x45_60,x_45,x45_60,x150_165,Top_dressed,x100_120,x135_150,x90_93,x_2,x30_45,x10_0_10_5,x187_5_212_5,x1_5,x40_45,x175_225,x90_110,x21_4_26_4,x3_5,Trebon,x5,x9_10,x4,x2,x42_5_45,x50_55,x55_60
x15,x350_450,x850_950,x_175,x3_0_3_5,x37_5_47_5,x51_60,x25_35,x40_50,Cer_rotation,x_15,x_99_1_00,x75_90,JB_8,x21_23,state0,x_85,x98__99,x30_45,x1___375_,x45_60,x45_60,x75_90,x_45,x45_60,x120_135,Top_dressed,x80_100,x105_120,x98_99,x_2,x30_45,x_9,x162_5_187_5,x1_5,x25_30,x_175,x70_90,x26_3_10_4,x3_5,Abelone,x2,x9_10,x2,x0,x40_42_5,x55_60,x30_40
x5,x350_450,x_550,x375_425,x3_5_4_0,x_22_5,x61_70,x25_35,x50_60,Clovergrass,x19_21,x_95__97,x105_120,Jb_7,x19_21,state4,x_85,x90_93,x30_45,x2__375_500_,x_45,x_45,x75_90,x45_60,x30_45,x135_150,Top_dressed,x100_120,x165_180,x93_95,x_2,x75_90,x9_0_9_5,x137_5_162_5,x5_10,x50_55,x_450,x130_150,x26_3_10_4,x3_5,Rima,x5,x9_10,x5,x2,x_35,x30_35,x_30
x_20,x_1150,x_550,x325_375,x4_0_4_5,x_22_5,x51_60,x0_5,x50_60,Clovergrass,x_15,x_99_1_00,x_120,JB_6,x13_15,state2,x_85,x80_85,x45_60,x3___500_,x_45,x_45,x60_75,x_45,x30_45,x135_150,worked_in_solil,x120_140,x150_165,x80_85,x_2,x_105,x9_0_9_5,x162_5_187_5,x1_5,x5_10,x_450,x170_190,x_26_4,x3_5,Miralix,x5,x9_10,x4,x0,x45_47_5,x30_35,x65_70
x20,x550_650,x700_750,x_175,x4_0_4_5,x27_5_32_5,x25_40,x0_5,x30_40,Other,x_15,x90__93,x45_60,JB_4,x17_19,state1,x85_90,x75_80,x0_15,x3___500_,x60_75,x60_75,x105_120,x60_75,x15_30,x120_135,Top_dressed,x60_80,x120_135,x80_85,x_2,x45_60,x_12_0,x112_5_137_5,x1_5,x75_80,x175_225,x90_110,x11_4_20_4,x3_5,Goldie,x5,x9_10,x7,x3,x45_47_5,x48_50,x40_50
x25,x_1150,x_550,x_175,x3_0_3_5,x27_5_32_5,x25_40,x25_35,x40_50,Other,x19_21,x_99_1_00,x60_75,JB_2,x_13,state4,x90_95,x75_80,x0_15,x3___500_,x60_75,x60_75,x105_120,x_45,x15_30,x135_150,Top_dressed,x80_100,x90_105,x_80,x_2,x60_75,x_9,x87_5_112_5,x0_1,x35_40,x175_225,x70_90,x26_3_10_4,x3_5,Cork,x8,x9_10,x3,x1,x50_55,x42_44,x65_70
x_10,x_350,x950_1050,x325_375,x4_0_4_5,x32_5_37_5,x25_40,x10_15,x50_60,Beets,x_15,x_99_1_00,x105_120,Jb_7,x15_17,state0,x_98,x75_80,x45_60,x3___500_,x45_60,x45_60,x75_90,x45_60,x30_45,x150_165,Placed,x120_140,x150_165,x_80,x_2,x60_75,x9_0_9_5,x162_5_187_5,x0_1,x90_95,x_450,x210_230,x_26_4,x0_1,Canut,x4,x9_10,x1,x1,x_35,x46_48,x_30
x25,x650_750,x750_850,x175_225,x4_0_4_5,x27_5_32_5,x41_50,x5_10,x30_40,Cer_rotation,x21_23,x_94__90,x15_30,Jb_1_,x15_17,state3,x95_98,x85_90,x0_15,x1___375_,x75_90,x75_90,x105_120,x75_90,x15_30,x_120,Placed,x_40,x90_105,x97_98,x_2,x15_30,x9_0_9_5,x37_5_62_5,x0_1,x75_80,x225_275,x90_110,x_26_3,x3_5,Selim,x5,x9_10,x3,x1,x47_5_50,x42_44,x55_60
